Category,Parameter,F1,Precision,Recall
LCDD,"(200.0, 200.0, 50.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(200.0, 200.0, 100.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(200.0, 200.0, 150.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(200.0, 200.0, 200.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(300.0, 300.0, 5.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 10.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 20.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 50.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 100.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 150.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(300.0, 300.0, 200.0)",0.34844868735083534,0.23973727422003285,0.6375545851528385
LCDD,"(400.0, 400.0, 5.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 10.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 20.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 50.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 100.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 150.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(400.0, 400.0, 200.0)",0.25375170532060026,0.18452380952380953,0.40611353711790393
LCDD,"(600.0, 600.0, 5.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 10.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 20.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 50.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 100.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 150.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(600.0, 600.0, 200.0)",0.10021786492374728,0.1,0.10043668122270742
LCDD,"(800.0, 800.0, 5.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 10.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 20.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 50.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 100.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 150.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(800.0, 800.0, 200.0)",0.11302211302211301,0.12921348314606743,0.10043668122270742
LCDD,"(1200.0, 1200.0, 5.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
LCDD,"(1200.0, 1200.0, 10.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
LCDD,"(1200.0, 1200.0, 20.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
LCDD,"(1200.0, 1200.0, 50.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
LCDD,"(1200.0, 1200.0, 100.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
LCDD,"(1200.0, 1200.0, 150.0)",0.006024096385542168,0.009708737864077669,0.004366812227074236
