Category,Parameter,F1,Precision,Recall,Measure
Zheng DBSCAN,"(400.0, 200.0)",0.5864661654135338,0.6882352941176471,0.5109170305676856,10.0
Zheng DBSCAN,"(500.0, 50.0)",0.2857142857142857,0.3851851851851852,0.2270742358078602,10.0
Zheng DBSCAN,"(500.0, 100.0)",0.303206997084548,0.4561403508771929,0.2270742358078602,10.0
Zheng DBSCAN,"(500.0, 150.0)",0.3076923076923076,0.4770642201834862,0.2270742358078602,10.0
Zheng DBSCAN,"(500.0, 200.0)",0.3104477611940298,0.490566037735849,0.2270742358078602,10.0
Zheng DBSCAN,"(500.0, 250.0)",0.3132530120481927,0.5048543689320388,0.2270742358078602,10.0
Zheng DBSCAN,"(600.0, 60.0)",0.2946175637393767,0.4193548387096774,0.2270742358078602,10.0
Zheng DBSCAN,"(600.0, 120.0)",0.3076923076923076,0.4770642201834862,0.2270742358078602,10.0
Zheng DBSCAN,"(600.0, 180.0)",0.311377245508982,0.4952380952380952,0.2270742358078602,10.0
Zheng DBSCAN,"(600.0, 240.0)",0.3141993957703927,0.5098039215686274,0.2270742358078602,10.0
Zheng DBSCAN,"(600.0, 300.0)",0.3141993957703927,0.5098039215686274,0.2270742358078602,10.0
Zheng DBSCAN,"(700.0, 70.0)",0.2988505747126436,0.4369747899159664,0.2270742358078602,10.0
Zheng DBSCAN,"(700.0, 140.0)",0.3095238095238095,0.4859813084112149,0.2270742358078602,10.0
Zheng DBSCAN,"(700.0, 210.0)",0.3132530120481927,0.5048543689320388,0.2270742358078602,10.0
Zheng DBSCAN,"(700.0, 280.0)",0.3132530120481927,0.5048543689320388,0.2270742358078602,10.0
Zheng DBSCAN,"(700.0, 350.0)",0.3081570996978852,0.5,0.222707423580786,10.0
Zheng DBSCAN,"(800.0, 80.0)",0.3023255813953488,0.4521739130434782,0.2270742358078602,10.0
Zheng DBSCAN,"(800.0, 160.0)",0.3104477611940298,0.490566037735849,0.2270742358078602,10.0
Zheng DBSCAN,"(800.0, 240.0)",0.3132530120481927,0.5048543689320388,0.2270742358078602,10.0
Zheng DBSCAN,"(800.0, 320.0)",0.3081570996978852,0.5,0.222707423580786,10.0
Zheng DBSCAN,"(800.0, 400.0)",0.3081570996978852,0.5,0.222707423580786,10.0
Bose J,"(100.0, 2.0)",0.8205128205128205,0.88,0.7685589519650655,15.0
Bose J,"(200.0, 2.0)",0.8053435114503817,0.7152542372881356,0.9213973799126638,15.0
Bose J,"(300.0, 2.0)",0.8680851063829788,0.8464730290456431,0.8908296943231441,15.0
Bose J,"(400.0, 2.0)",0.7268292682926829,0.8232044198895028,0.6506550218340611,15.0
Bose J,"(500.0, 2.0)",0.7704081632653061,0.9263803680981596,0.6593886462882096,15.0
Bose J,"(600.0, 2.0)",0.7480519480519481,0.9230769230769232,0.62882096069869,15.0
Bose WC,"(100.0, 2.0)",0.7405405405405405,0.9716312056737588,0.5982532751091703,15.0
Bose WC,"(200.0, 2.0)",0.8393285371702638,0.9308510638297872,0.7641921397379913,15.0
Bose WC,"(300.0, 2.0)",0.7571801566579636,0.9415584415584416,0.6331877729257642,15.0
Bose WC,"(400.0, 2.0)",0.7362637362637363,0.9925925925925926,0.5851528384279476,15.0
Bose WC,"(500.0, 2.0)",0.6801152737752161,1.0,0.5152838427947598,15.0
Bose WC,"(600.0, 2.0)",0.3223443223443223,1.0,0.1921397379912663,15.0
Earth Mover's Distance,"(100.0, 2.0)",0.779324055666004,0.7153284671532847,0.8558951965065502,15.0
Earth Mover's Distance,"(200.0, 2.0)",0.8262548262548263,0.740484429065744,0.9344978165938864,15.0
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.913793103448276,0.925764192139738,15.0
Earth Mover's Distance,"(400.0, 2.0)",0.7989821882951654,0.9573170731707316,0.6855895196506551,15.0
Earth Mover's Distance,"(500.0, 2.0)",0.8,0.9871794871794872,0.6724890829694323,15.0
Earth Mover's Distance,"(600.0, 2.0)",0.796875,0.9870967741935484,0.6681222707423581,15.0
LCDD,"(100.0, 100.0, 5.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 10.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 20.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 50.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 100.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 150.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(100.0, 100.0, 200.0)",0.2226935312831389,0.1267350633675316,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 5.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 10.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 20.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 50.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 100.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 150.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(200.0, 200.0, 200.0)",0.3832116788321167,0.2422145328719723,0.9170305676855895,15.0
LCDD,"(300.0, 300.0, 5.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 10.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 20.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 50.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 100.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 150.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(300.0, 300.0, 200.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 5.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 10.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 20.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 50.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 100.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 150.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
LCDD,"(400.0, 400.0, 200.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,15.0
