,collection,noise_level,log_name,trace_length,event_class_size,unique_traces,log_size
141,input,train,log_3028_1708942454.xes,3.83125,13.0,924.0,3840.0
142,input,train,log_2357_1708942454.xes,5.181241184767278,11.0,1977.0,4254.0
143,input,train,log_2441_1708942453.xes,11.773227804542326,12.0,1093.0,2906.0
144,input,train,log_1178_1708942451.xes,6.495034505975425,8.0,81.0,5941.0
145,input,train,log_1179_1708942454.xes,5.517176024638712,16.0,526.0,4221.0
146,input,train,log_2020_1708942454.xes,14.130666666666666,12.0,1826.0,1875.0
147,input,train,log_3700_1708942452.xes,6.78408651989185,6.0,1809.0,5178.0
148,input,train,log_593_1708942454.xes,3.0293657688966116,7.0,890.0,5755.0
149,input,train,log_1768_1708942453.xes,8.056567328918323,7.0,1178.0,3624.0
150,input,train,log_86_1708942450.xes,6.505640157924422,7.0,2071.0,7092.0
151,input,train,log_1263_1708942451.xes,5.981835829173599,6.0,1976.0,7212.0
152,input,train,log_257_1708942457.xes,5.0,5.0,1.0,1054.0
153,input,train,log_254_1708942450.xes,14.615883306320908,11.0,1575.0,3702.0
154,input,train,log_4789_1708942448.xes,10.21495732677564,13.0,3715.0,6913.0
155,input,train,log_1012_1708942455.xes,6.006955422067657,7.0,760.0,3163.0
156,input,train,log_4624_1708942452.xes,8.009954965631666,7.0,1849.0,4219.0
157,input,train,log_2442_1708942454.xes,12.830434782608696,11.0,1020.0,2530.0
158,input,train,log_1936_1708942456.xes,5.498371335504886,8.0,1114.0,2763.0
159,input,train,log_4625_1708942455.xes,6.763754045307444,12.0,403.0,3090.0
160,input,train,log_3277_1708942448.xes,20.601583113456464,13.0,3622.0,3790.0
161,input,train,log_679_1708942456.xes,6.388305847076462,11.0,105.0,2668.0
162,input,train,log_507_1708942452.xes,7.104104104104104,14.0,361.0,4995.0
163,input,train,log_3364_1708942453.xes,6.033384694401644,8.0,1846.0,5841.0
164,input,train,log_2945_1708942454.xes,2.070966070966071,7.0,771.0,7722.0
165,input,train,log_4204_1708942455.xes,6.916055180510713,12.0,1041.0,3407.0
166,input,train,log_1600_1708942454.xes,7.248661055853098,10.0,812.0,3921.0
167,input,train,log_3278_1708942453.xes,4.217874231032126,10.0,2264.0,5852.0
168,input,train,log_1599_1708942452.xes,17.030804150453957,13.0,1104.0,3084.0
169,input,train,log_3279_1708942456.xes,5.400477897252091,6.0,275.0,4185.0
170,input,train,log_757_1708942448.xes,8.575079872204473,11.0,4291.0,6573.0
171,input,train,log_88_1708942455.xes,2.2869627507163326,12.0,274.0,6980.0
172,input,train,log_1516_1708942453.xes,13.77271236470974,12.0,1807.0,3049.0
173,input,train,log_1346_1708942451.xes,5.985865724381625,7.0,2056.0,6792.0
174,input,train,log_680_1708942457.xes,1.8344425956738768,6.0,255.0,3606.0
175,input,train,log_3868_1708942456.xes,3.058443764865783,6.0,6.0,2943.0
176,input,train,log_4453_1708942448.xes,8.390653939307594,8.0,211.0,7019.0
177,input,train,log_4205_1708942456.xes,4.245650250663521,8.0,1135.0,3391.0
178,input,train,log_758_1708942454.xes,5.999173041141203,8.0,1622.0,4837.0
179,input,train,log_1013_1708942456.xes,4.0,5.0,4.0,3850.0
180,input,train,log_3026_1708942450.xes,20.531218359770502,13.0,2077.0,2963.0
181,input,train,log_256_1708942455.xes,2.849641577060932,6.0,841.0,5580.0
182,input,train,log_4_1708942457.xes,7.872919818456883,11.0,348.0,1322.0
183,input,train,log_2609_1708942453.xes,14.787182587666264,11.0,1555.0,3308.0
184,input,train,log_1347_1708942454.xes,9.90251851851852,11.0,1148.0,3375.0
185,input,train,log_4203_1708942451.xes,8.046017699115044,7.0,2478.0,5650.0
186,input,train,log_3702_1708942457.xes,2.1402518454190185,12.0,363.0,2303.0
187,input,train,log_1180_1708942455.xes,8.0,11.0,36.0,2404.0
188,input,train,log_927_1708942452.xes,6.680685862180524,8.0,19.0,6182.0
189,input,train,log_2269_1708942448.xes,9.06472900870542,13.0,4122.0,7122.0
190,input,train,log_1433_1708942456.xes,4.9450708297195725,12.0,1758.0,3459.0
191,input,train,log_4878_1708942457.xes,6.00398406374502,7.0,416.0,1506.0
192,input,train,log_4707_1708942454.xes,9.937020810514786,9.0,119.0,3652.0
193,input,train,log_928_1708942455.xes,2.4962383388504366,12.0,1250.0,6646.0
194,input,train,log_508_1708942456.xes,5.008238928939238,5.0,691.0,3884.0
195,input,train,log_87_1708942453.xes,7.336883209087682,8.0,131.0,5634.0
196,input,train,log_4285_1708942448.xes,9.983433734939759,12.0,2842.0,6640.0
197,input,train,log_3617_1708942458.xes,3.5073170731707317,6.0,4.0,1435.0
198,input,train,log_337_1708942448.xes,28.83939774153074,13.0,2667.0,3188.0
199,input,train,log_1849_1708942448.xes,10.918607954545454,14.0,3422.0,7040.0
200,input,train,log_4454_1708942453.xes,6.573684210526316,8.0,32.0,6460.0
201,input,train,log_3701_1708942455.xes,5.9978902953586495,6.0,732.0,4740.0
202,input,train,log_5_1708942457.xes,4.99056199056199,6.0,411.0,2331.0
203,input,train,log_1265_1708942455.xes,6.996788990825688,8.0,86.0,4360.0
204,input,train,log_4206_1708942457.xes,5.0,5.0,2.0,2448.0
205,input,train,log_3615_1708942453.xes,7.879321181646763,8.0,860.0,6364.0
206,input,train,log_3783_1708942458.xes,5.9914320685434515,6.0,307.0,1634.0
207,input,train,log_89_1708942456.xes,2.468675417661098,5.0,2.0,6704.0
208,input,train,log_2271_1708942455.xes,5.014325068870523,5.0,1828.0,7260.0
209,input,train,log_2358_1708942455.xes,12.429124709527498,13.0,1420.0,2582.0
210,input,train,log_2104_1708942453.xes,8.383390040210331,13.0,1876.0,6466.0
211,input,train,log_423_1708942457.xes,4.0964572789520695,7.0,1051.0,3359.0
212,input,train,log_174_1708942458.xes,3.197678636198767,11.0,22.0,2757.0
213,input,train,log_2611_1708942455.xes,6.084659452577976,13.0,2719.0,4713.0
214,input,train,log_3196_1708942453.xes,4.618360744135885,13.0,167.0,7418.0
215,input,train,log_929_1708942457.xes,6.0,6.0,10.0,2512.0
216,input,train,log_1685_1708942457.xes,3.4791079210458857,5.0,27.0,3901.0
217,input,train,log_4791_1708942454.xes,15.516028633675692,11.0,741.0,3213.0
218,input,train,log_3784_1708942458.xes,6.0,6.0,15.0,3171.0
219,input,train,log_2860_1708942458.xes,5.027388922702373,7.0,3.0,1643.0
220,input,train,log_595_1708942457.xes,1.6057203018073347,11.0,12.0,5699.0
221,input,train,log_1266_1708942457.xes,5.18297161936561,6.0,502.0,2995.0
222,input,train,log_509_1708942457.xes,1.4175172413793105,6.0,6.0,7250.0
223,input,train,log_4708_1708942456.xes,4.367398979992154,8.0,10.0,5098.0
224,input,train,log_2105_1708942456.xes,5.498688811188811,7.0,87.0,4576.0
225,input,train,log_1181_1708942457.xes,6.019145802650957,7.0,1157.0,3395.0
226,input,train,log_1686_1708942458.xes,3.749095295536791,10.0,165.0,3316.0
227,input,train,log_90_1708942457.xes,3.1207025411061284,11.0,172.0,5352.0
228,input,train,log_1769_1708942455.xes,6.521272114574558,8.0,1185.0,4748.0
229,input,train,log_4626_1708942457.xes,7.004181408813123,8.0,1396.0,3109.0
